age,income,credit_score,loan_amount,employment_years,debt_ratio,location,education,loan_approved
31.572415069131715,46025.320047163375,720.6372311610978,219360.0418733203,5.616648376557741,0.30487779070384236,suburban,high_school,0
44.014341651353675,30844.255481059296,816.5324656734572,291196.87366526335,0.44382711175896983,0.42909761241579747,rural,high_school,0
25.602028888068688,40809.43205963207,698.6993243797808,107452.64218788734,4.626659061193952,0.4787197111183036,urban,high_school,1
37.46677896532757,63686.99854104969,756.8055542016358,211472.7375401939,6.84110974211616,0.14267295899269405,urban,high_school,1
33.76890136469069,60202.44420186937,726.9562785765443,181188.1361951347,6.453588448694907,0.35246608427962833,suburban,masters,1
28.792818769574023,29071.70735845338,796.0719763276643,203775.1796619141,8.01552411310497,0.3273389003192988,rural,high_school,1
16.46959670246733,39425.22278542902,651.5009621282197,205135.81256551135,5.4611494061334565,0.45612499637925674,suburban,high_school,0
48.62854699120787,50856.37977163611,675.2342997599937,190440.77188748828,5.2493329146939915,0.40049761207394863,rural,high_school,0
40.17190530383378,53397.864778218085,653.2146274265374,143344.604093327,0.7925740949294235,0.4861047476661253,rural,bachelors,1
61.6528782770926,40056.56365181084,696.1041197380071,134061.14047469175,9.585266773586495,0.4840130150327985,rural,high_school,1
45.794130139575415,57146.86179982389,643.763784589625,186754.41076017532,4.083189259403203,0.19027403733808834,suburban,high_school,1
48.40543978648547,49470.76669227856,623.6958046372393,128969.12514925214,2.0613955591330315,0.3901403487601689,suburban,masters,1
17.506462689766018,11350.553497091663,593.3288248390614,194354.78604325582,12.883723664595527,0.3122092365459578,urban,high_school,1
17.331646354384407,41424.9450908495,590.1265195501641,187331.5278930538,10.040257064728262,0.1858407980861222,suburban,high_school,0
35.42312061052587,40996.614048341435,732.8195845281074,77498.23491450667,3.656753233227955,0.1779476328869603,rural,high_school,1
23.518845765186875,60174.10550584614,677.2280875163632,296680.6538086266,-0.6420140327662782,0.1324337365065146,rural,bachelors,1
28.187131531559743,60440.88855767071,638.3123969552369,203862.88330729597,2.844585736176402,0.4182181105674756,rural,masters,1
